state,file,row_index,awardee,amount,rural_class,designation,counts_as_rural,ccn,basis_type
PA,pa_year1_awardees.csv,26,Wellspan Waynesboro Hospital,881989,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,27,"Windber Hospital, Inc. dba Chan Soon-Shiong Medical Center at Windber",985100,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,28,"Punxsutawney Area Hospital, Inc.",605721,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,29,Meadville Medical Center dba Meadville Medical Center Health Services (MMCHS),997900,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,30,Corry Memorial Hospital dba LECOM Health Corry Memorial Hospital,1000000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,43,Clarion Psychiatric Center,998287,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,45,"St. Luke's Hospital of Bethlehem, Pennsylvania dba St. Luke's Hospital - Lehighton Campus, formerly Blue Mountain Hospital",1000000,NOT_RECORDED,,FALSE,,
PA,pa_year1_awardees.csv,46,DLP Conemaugh Memorial Medical Center LLC dba Conemaugh Memorial Medical Center,999845,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,6,The City of York Health Care Authority DBA Hill Hospital of Sumter County,344269,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,7,Clay County Healthcare Authority,814941,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,8,Gadsden Regional Medical Center LLC,1400000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,10,HH Health System – Athens Limestone LLC,886464,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,11,HH Health System – Jackson LLC,1890000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,12,Infirmary Health System Inc.,3500000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,13,Ivy Creek Healthcare LLC,530600,NOT_RECORDED,,FALSE,,ORG_WEBSITE
AL,al_year1_awardees.csv,18,The Russell Hospital Corporation,839753,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,20,Sylacauga Healthcare Authority,2020000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,22,UAB St. Vincent’s Blount,839753,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,23,UAB St. Vincent’s Chilton LLC,839753,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,24,UAB St. Vincent’s St. Clair,839753,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,27,"The Washington County Health Care Authority, Inc.",27000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,29,Wilcox Hospital Board DBA J. Paul Jones Rural Emergency Hospital,839753,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,31,Andalusia Health,625257,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,32,Andalusia Health,176980,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,39,City of Jackson Healthcare Authority DBA Jackson Medical Center,98300,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,40,Clay County Healthcare Authority,1540000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,41,Crenshaw County Healthcare Authority,1080000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,42,Dale Medical Center,305775,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,43,The DCH Health Care Authority,2000000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,44,The East Alabama Health Care Authority,6770000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,45,The East Alabama Health Care Authority,1290000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,48,Floyd Cherokee Medical Center,500000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,51,Gadsden Regional Medical Center,150000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,52,Affinity Hospital DBA Grandview Medical Center,451350,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,53,Hale County Hospital,2410000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,54,Healthcare Authority of the City of Greenville – L.V. Stabler Hospital,4170000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,55,Huntsville Hospital Health System,2800000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,56,City of York Health Care Authority DBA Hill Hospital of Sumter County,1530000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,57,Infirmary Health System Inc.,386000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,58,Infirmary Health System Inc.,1120000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,59,Ivy Creek Healthcare,1660000,NOT_RECORDED,,FALSE,,ORG_WEBSITE
AL,al_year1_awardees.csv,60,Lakeland Community Hospital Inc.,490800,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,61,RCHP-Florence LLC DBA North Alabama Shoals Hospital,179607,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,62,RCHP-Florence LLC DBA North Alabama Shoals Hospital,123000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,65,QHG of Enterprise Inc.,2770000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,69,The Russell Hospital Corporation,1250000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,70,The Russell Hospital Corporation,439720,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,71,Russellville Hospital,1290000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,73,UAB St. Vincent’s Chilton,1210000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,74,Sylacauga Healthcare Authority DBA Coosa Valley Medical Center,5680,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,75,Sylacauga Healthcare Authority DBA Coosa Valley Medical Center,84278,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,76,Tanner Medical Center Alabama Inc.,289921,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,80,The Troy Hospital Health Care Authority,623000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,81,Wiregrass Medical Center,391000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,84,Vaughan Regional Medical Center,780332,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,85,Tombigbee Healthcare Authority DBA Whitfield Regional Hospital,259011,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,86,Wilcox Hospital Board DBA J. Paul Jones Rural Emergency Hospital,116880,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,93,Clay County Healthcare Authority,293000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,94,Cullman Regional Medical Center Inc.,3800000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,95,The DCH Health Care Authority,3000000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,96,East Alabama Health Care Authority,1500000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,99,Gadsden Regional Medical Center LLC,550000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,100,HH Health System – Marshall LLC,935000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,101,Infirmary Health System Inc.,342147,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,105,Sylacauga Healthcare Authority,600000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,106,Triad of Alabama DBA Flowers Hospital,727000,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,117,City of Jackson Healthcare Authority DBA Jackson Medical Center,158215,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,119,East Alabama Health Care Authority,731055,NOT_RECORDED,,FALSE,,
AL,al_year1_awardees.csv,121,City of York Health Care Authority DBA Hill Hospital of Sumter County,677120,NOT_RECORDED,,FALSE,,
